date_scraped,text,url
4/8/2026 21:49,Degdeg. Militaryga Soomaaliya oo gudaha u galey Baydhaba . Shacab faraxsan oo soo dhoweeyay.,https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:49,Degdeg: Askari katirsan Ciidanka Lafta Gareen oo jidkii ka dhumey markii gugaca rasaasta CXD ku ridayaan uu ku jahware... Wax badan arag,https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:49,Uodate:- CXD oo adeegsanaya diyaarado Helicopters ah dagaalka hada ka socda Baydhaba . Ciidanka Lafta Gareen oo dib ug... Wax badan arag,https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:49,"DEG DEG: Ciidanka xoogga dalka iyo kuwa Badbaadada Koonfur Galbeed ayaa qabsaday xaafaddo ka mid ah magaalada Baydhabo, xilli ciidanka Lafta Gareen ay dib ugu gurteen dhanka madaxtooyada Baydhabo. Dagaalka ayaa wali socca waxaana la isku adeegsanaya hub culus.",https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:49,Ciidanka Koonfur Galbeed oo jiida hore ee dagaalka ku sii ordaya . Halkan waa xaafada Takfiir .,https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:49,Degdeg: Dagaal ayaa ka biloowdey duleedka magaalada Baydhaba . Rasaas & hub culus ayaa la isku adeegsanayaa.,https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:49,Degdeg: Wasiir Jaamac oo ku hanjabey in Beri lala wareegayo Koofur Galbeed kuna baaqey in Lafta Gareen isdhiibo”.,https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:50,Waxaan si adag u cambaareynayaa waxa loogu yeeray “doorashada KGS’ ee uu maanta soo dhodhoobay Laftagareen. In saacado... Wax badan arag,https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:50,Gudaha Airport-ka iyo askari ajnabi ah oo xoog EVC ku qaadanaya . Hadii aan la siinin jidka ma marayaan dadkan.,https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:50,Ku dhaarashada magaca Alle & xukun aan si cadli ah lagu helin .,https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:50,Wax aan doorasho lagu tilmaami karin ayuu ku guuleeystay MW Lagta-Gareen . 4hrs min Xildhibaano illaa Madaxweyne ayaa... Wax badan arag,https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:50,Muqdisho jawiga ka jira lama mid aha kan Beydhaba .,https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:50,Degdeg:- Ciidamo boliis ah ayaa hadda la wareegay Kastamka canshuuraha ee dhaqaalaha ugu badan ka soo geli jirey Koonfur Galbeed ee D/Afgooye . Xaruntan oo lacago kumannaan kun ah ay ka soo xaroon jirtey maalintii waxaa maamuli jirey Cabdifitaax Mahad oo uu dhaley taliyihii xilka laga qaadey lagana dhigey xabsi ... Wax badan arag,https://www.facebook.com/MunasarMohamedAbd
4/8/2026 21:50,Waa Muuqaal laga naxo oo Calool xumo leh . Qof kastoo damiir leh muuqaalka ha sii faafiyo sidan waa arxan daro. Yac ha... Wax badan arag,https://www.facebook.com/MunasarMohamedAbd
