platform,source,content,category,scraped_at
Facebook,https://www.facebook.com/search/posts/?q=https%3A%2F%2Fwww.bbc.com%2Fsomali,Create a PIN to access your chat history on any device.,not crime-related,2026-03-05 11:56:36
Facebook,https://www.facebook.com/search/posts/?q=https%3A%2F%2Fwww.bbc.com%2Fsomali,Messages and calls are secured with end-to-end encryption.,not crime-related,2026-03-05 11:56:36
Facebook,https://www.facebook.com/search/posts/?q=https%3A%2F%2Fwww.bbc.com%2Fsomali,You missed a call from ‎چوہدری‎.,not crime-related,2026-03-05 11:56:36
Facebook,https://www.facebook.com/search/posts/?q=https%3A%2F%2Fwww.bbc.com%2Fsomali,Start end-to-end encrypted chat,not crime-related,2026-03-05 11:56:37
Facebook,https://www.facebook.com/search/posts/?q=https%3A%2F%2Fwww.bbc.com%2Fsomali,Make your own sticker pack that represents who you are.,not crime-related,2026-03-05 11:56:37
